Date,Price
2018-03-03,855.21
2018-03-04,840.28
2018-03-05,853.52
2018-03-06,809.93
2018-03-07,726.55
2018-03-08,696.17
2018-03-09,648.11
2018-03-10,682.7
2018-03-11,668.12
2018-03-12,683.27
2018-03-13,682.35
2018-03-14,594.1
2018-03-15,579.51
2018-03-16,587.86
2018-03-17,549.1
2018-03-18,460.09
2018-03-19,519.12
2018-03-20,521.2
2018-03-21,550.57
2018-03-22,523.09
2018-03-23,512.13
2018-03-24,526.08
2018-03-25,515.66
2018-03-26,470.44
2018-03-27,449.97
2018-03-28,444.86
2018-03-29,385.81
2018-03-30,368.63
2018-03-31,392.95
2018-04-01,363.8
2018-04-02,377.59
2018-04-03,383.53
2018-04-04,375.31
2018-04-05,369.82
2018-04-06,366.91
2018-04-07,369.94
2018-04-08,385.6
2018-04-09,390.61
2018-04-10,393.88
2018-04-11,412.47
2018-04-12,417.41
2018-04-13,482.66
2018-04-14,488.28
2018-04-15,502.88
2018-04-16,500.25
2018-04-17,502.56
2018-04-18,503.05
2018-04-19,523.26
2018-04-20,560.28
2018-04-21,578.55
2018-04-22,593.87
2018-04-23,621.03
2018-04-24,643.4
2018-04-25,600.21
2018-04-26,604.01
2018-04-27,647.03
2018-04-28,644.65
2018-04-29,670.51
2018-04-30,666.12
2018-05-01,637.54
2018-05-02,667.42
2018-05-03,686.59
2018-05-04,762.63
2018-05-05,784.24
2018-05-06,764.88
2018-05-07,710.18
2018-05-08,728.13
2018-05-09,718.47
2018-05-10,726.66
2018-05-11,669.83
2018-05-12,644.07
2018-05-13,675.32
2018-05-14,695.79
2018-05-15,700.99
2018-05-16,682.54
2018-05-17,668.83
2018-05-18,663.81
2018-05-19,686.79
2018-05-20,692.67
2018-05-21,692.49
2018-05-22,644.03
2018-05-23,572.95
2018-05-24,557.21
2018-05-25,575.62
2018-05-26,583.51
2018-05-27,562.87
2018-05-28,512.55
2018-05-29,516.15
2018-05-30,545.43
2018-05-31,557.07
2018-06-01,567.66
2018-06-02,577.32
2018-06-03,591.26
2018-06-04,583.75
2018-06-05,580.98
2018-06-06,596.4
2018-06-07,601.69
2018-06-08,595.59
2018-06-09,597.56
2018-06-10,511.89
2018-06-11,515.27
2018-06-12,491.23
2018-06-13,459.0
2018-06-14,467.47
2018-06-15,487.47
2018-06-16,488.85
2018-06-17,498.65
2018-06-18,494.07
2018-06-19,516.31
2018-06-20,519.37
2018-06-21,524.26
2018-06-22,456.88
2018-06-23,462.39
2018-06-24,426.47
2018-06-25,448.9
2018-06-26,432.77
2018-06-27,424.84
2018-06-28,419.68
2018-06-29,407.95
2018-06-30,436.21
2018-07-01,446.39
2018-07-02,447.11
2018-07-03,462.58
2018-07-04,455.18
2018-07-05,464.63
2018-07-06,457.61
2018-07-07,466.84
2018-07-08,488.42
2018-07-09,475.17
2018-07-10,433.96
2018-07-11,429.51
2018-07-12,422.81
2018-07-13,430.74
2018-07-14,431.47
2018-07-15,433.92
2018-07-16,446.8
2018-07-17,468.92
2018-07-18,474.36
2018-07-19,465.14
2018-07-20,443.69
2018-07-21,445.78
2018-07-22,458.12
2018-07-23,449.73
2018-07-24,450.57
2018-07-25,466.47
2018-07-26,461.42
2018-07-27,458.29
2018-07-28,462.99
2018-07-29,462.71
2018-07-30,448.64
2018-07-31,430.44
2018-08-01,410.46
2018-08-02,410.31
2018-08-03,399.91
2018-08-04,403.78
2018-08-05,402.43
2018-08-06,403.31
2018-08-07,376.08
2018-08-08,353.73
2018-08-09,353.61
2018-08-10,329.59
2018-08-11,308.49
2018-08-12,318.6
2018-08-13,284.93
2018-08-14,254.65
2018-08-15,280.12
2018-08-16,280.93
2018-08-17,287.35
2018-08-18,286.55
2018-08-19,291.33
2018-08-20,273.51
2018-08-21,273.33
2018-08-22,265.0
2018-08-23,271.09
2018-08-24,273.86
2018-08-25,278.47
2018-08-26,272.44
2018-08-27,273.65
2018-08-28,283.57
2018-08-29,287.29
2018-08-30,275.21
2018-08-31,278.51
2018-09-01,283.5
